,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,-0.02
1,20,0.0,199,4000,0.09
2,20,2.0,299,6000,0.14
3,20,-1.0,399,8000,0.15
4,20,3.0,499,10000,0.15
5,20,0.0,599,12000,0.28
6,20,-3.0,699,14000,0.32
7,20,2.0,799,16000,0.02
8,20,-1.0,899,18000,0.45
9,20,1.0,999,20000,0.29
10,20,1.0,1099,22000,0.41
11,20,0.0,1199,24000,0.33
12,20,2.0,1299,26000,0.63
13,20,1.0,1399,28000,0.47
14,20,2.0,1499,30000,0.46
15,20,1.0,1599,32000,0.52
16,20,-2.0,1699,34000,0.56
17,20,1.0,1799,36000,0.61
18,20,2.0,1899,38000,0.58
19,20,0.0,1999,40000,0.78
20,20,-1.0,2099,42000,0.5
21,20,0.0,2199,44000,0.66
22,20,1.0,2299,46000,0.6
23,20,2.0,2399,48000,0.71
24,20,1.0,2499,50000,0.71
25,20,-1.0,2599,52000,0.93
26,20,2.0,2699,54000,0.78
27,20,2.0,2799,56000,0.82
28,20,2.0,2899,58000,0.91
29,20,0.0,2999,60000,1.02
30,20,0.0,3099,62000,0.8
31,20,0.0,3199,64000,0.97
32,20,1.0,3299,66000,0.9
33,20,1.0,3399,68000,0.85
34,20,1.0,3499,70000,1.09
35,20,4.0,3599,72000,1.13
36,20,3.0,3699,74000,1.05
37,20,2.0,3799,76000,0.76
38,20,0.0,3899,78000,1.08
39,20,1.0,3999,80000,1.12
40,20,2.0,4099,82000,0.82
41,20,1.0,4199,84000,1.16
42,20,0.0,4299,86000,1.05
43,20,1.0,4399,88000,1.08
44,20,2.0,4499,90000,1.16
45,20,0.0,4599,92000,1.01
46,20,2.0,4699,94000,1.06
47,20,0.0,4799,96000,1.13
48,20,1.0,4899,98000,1.27
49,20,2.0,4999,100000,1.17
50,20,0.0,5099,102000,1.18
51,20,0.0,5199,104000,1.37
52,20,3.0,5299,106000,1.39
53,20,1.0,5399,108000,1.17
54,20,-1.0,5499,110000,1.26
55,20,4.0,5599,112000,1.15
56,20,0.0,5699,114000,1.05
57,20,1.0,5799,116000,1.29
58,20,0.0,5899,118000,1.39
59,20,0.0,5999,120000,1.27
60,20,1.0,6099,122000,1.29
61,20,4.0,6199,124000,1.22
62,20,2.0,6299,126000,1.33
63,20,1.0,6399,128000,1.21
64,20,2.0,6499,130000,1.21
65,20,1.0,6599,132000,1.27
66,20,2.0,6699,134000,1.17
67,20,1.0,6799,136000,1.34
68,20,2.0,6899,138000,1.23
69,20,2.0,6999,140000,1.19
70,20,3.0,7099,142000,1.31
71,20,0.0,7199,144000,1.38
72,20,2.0,7299,146000,1.51
73,20,2.0,7399,148000,1.15
74,20,0.0,7499,150000,1.24
75,20,2.0,7599,152000,1.3
76,20,2.0,7699,154000,1.52
77,20,2.0,7799,156000,1.38
78,20,2.0,7899,158000,1.44
79,20,2.0,7999,160000,1.31
80,20,1.0,8099,162000,1.47
81,20,1.0,8199,164000,1.15
82,20,2.0,8299,166000,1.56
83,20,1.0,8399,168000,1.34
84,20,2.0,8499,170000,1.33
85,20,2.0,8599,172000,1.48
86,20,3.0,8699,174000,1.33
87,20,1.0,8799,176000,1.43
88,20,1.0,8899,178000,1.44
89,20,3.0,8999,180000,1.58
90,20,1.0,9099,182000,1.42
91,20,1.0,9199,184000,1.4
92,20,1.0,9299,186000,1.64
93,20,2.0,9399,188000,1.41
94,20,3.0,9499,190000,1.38
95,20,1.0,9599,192000,1.34
96,20,2.0,9699,194000,1.44
97,20,1.0,9799,196000,1.37
98,20,1.0,9899,198000,1.42
99,20,2.0,9999,200000,1.39
