,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,-0.08
1,20,1.0,199,4000,0.07
2,20,0.0,299,6000,0.01
3,20,1.0,399,8000,0.11
4,20,-1.0,499,10000,0.37
5,20,1.0,599,12000,0.41
6,20,-1.0,699,14000,0.26
7,20,-1.0,799,16000,0.34
8,20,1.0,899,18000,0.12
9,20,0.0,999,20000,0.25
10,20,0.0,1099,22000,0.05
11,20,1.0,1199,24000,0.32
12,20,2.0,1299,26000,0.52
13,20,2.0,1399,28000,0.32
14,20,0.0,1499,30000,0.2
15,20,-1.0,1599,32000,0.59
16,20,1.0,1699,34000,0.39
17,20,2.0,1799,36000,0.51
18,20,-1.0,1899,38000,0.27
19,20,-1.0,1999,40000,0.47
20,20,-2.0,2099,42000,0.65
21,20,-1.0,2199,44000,0.39
22,20,0.0,2299,46000,0.7
23,20,1.0,2399,48000,0.46
24,20,0.0,2499,50000,0.77
25,20,1.0,2599,52000,0.49
26,20,1.0,2699,54000,0.7
27,20,-2.0,2799,56000,0.84
28,20,2.0,2899,58000,0.94
29,20,0.0,2999,60000,0.83
30,20,-2.0,3099,62000,0.83
31,20,2.0,3199,64000,0.97
32,20,2.0,3299,66000,0.86
33,20,1.0,3399,68000,1.02
34,20,1.0,3499,70000,0.89
35,20,2.0,3599,72000,1.14
36,20,0.0,3699,74000,0.76
37,20,2.0,3799,76000,1.01
38,20,2.0,3899,78000,0.94
39,20,0.0,3999,80000,0.98
40,20,1.0,4099,82000,1.12
41,20,2.0,4199,84000,1.14
42,20,-1.0,4299,86000,1.15
43,20,0.0,4399,88000,1.08
44,20,1.0,4499,90000,1.02
45,20,0.0,4599,92000,0.97
46,20,1.0,4699,94000,1.26
47,20,1.0,4799,96000,0.95
48,20,2.0,4899,98000,1.25
49,20,-1.0,4999,100000,1.22
50,20,1.0,5099,102000,1.09
51,20,0.0,5199,104000,1.26
52,20,0.0,5299,106000,1.13
53,20,0.0,5399,108000,1.25
54,20,1.0,5499,110000,1.37
55,20,1.0,5599,112000,1.21
56,20,3.0,5699,114000,1.26
57,20,1.0,5799,116000,1.11
58,20,0.0,5899,118000,1.19
59,20,0.0,5999,120000,1.43
60,20,0.0,6099,122000,1.3
61,20,3.0,6199,124000,1.31
62,20,1.0,6299,126000,1.12
63,20,0.0,6399,128000,1.42
64,20,3.0,6499,130000,1.29
65,20,1.0,6599,132000,1.23
66,20,1.0,6699,134000,1.33
67,20,0.0,6799,136000,1.43
68,20,3.0,6899,138000,1.55
69,20,2.0,6999,140000,1.35
70,20,2.0,7099,142000,1.16
71,20,3.0,7199,144000,1.39
72,20,2.0,7299,146000,1.16
73,20,1.0,7399,148000,1.4
74,20,0.0,7499,150000,1.34
75,20,2.0,7599,152000,1.22
76,20,3.0,7699,154000,1.34
77,20,3.0,7799,156000,1.37
78,20,1.0,7899,158000,1.39
79,20,2.0,7999,160000,1.27
80,20,0.0,8099,162000,1.26
81,20,0.0,8199,164000,1.4
82,20,1.0,8299,166000,1.36
83,20,2.0,8399,168000,1.54
84,20,1.0,8499,170000,1.48
85,20,1.0,8599,172000,1.53
86,20,1.0,8699,174000,1.27
87,20,0.0,8799,176000,1.19
88,20,2.0,8899,178000,1.43
89,20,3.0,8999,180000,1.32
90,20,2.0,9099,182000,1.32
91,20,2.0,9199,184000,1.46
92,20,0.0,9299,186000,1.25
93,20,-1.0,9399,188000,1.27
94,20,1.0,9499,190000,1.46
95,20,1.0,9599,192000,1.45
96,20,1.0,9699,194000,1.49
97,20,2.0,9799,196000,1.53
98,20,-2.0,9899,198000,1.18
99,20,3.0,9999,200000,1.4
